NÚMERO DE VACAS,STOC,ÍNDICE,TOURO NAAB,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %
1735,CN,-166,029HO18058,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.00,011HO17399,AltaINSPIRE 4,0.10
1744,CN,253,029HO19398,011HO17721,AltaYOSHI,2.38,011HO17399,AltaINSPIRE 4,3.25,011HO17733,AltaFANZONE,3.38
1746,CN,212,029HO18225,011HO17399,AltaINSPIRE 4,1.85,011HO17733,AltaFANZONE,2.72,011HO17721,AltaYOSHI,1.75
1749,CN,-15,029HO17607,011HO17399,AltaINSPIRE 4,0.82,011HO17721,AltaYOSHI,1.23,011HO17733,AltaFANZONE,1.43
1757,CN,253,029HO18225,011HO17733,AltaFANZONE,3.07,011HO17399,AltaINSPIRE 4,2.40,011HO17721,AltaYOSHI,1.62
1763,CN,-161,029HO17971,011HO17733,AltaFANZONE,0.91,011HO17721,AltaYOSHI,0.23,011HO17399,AltaINSPIRE 4,0.81
1764,CN,-124,029HO17576,011HO17733,AltaFANZONE,1.43,011HO17721,AltaYOSHI,1.22,011HO17399,AltaINSPIRE 4,0.82
1769,CN,-69,203HO01468,011HO17399,AltaINSPIRE 4,2.25,011HO17721,AltaYOSHI,1.59,011HO17733,AltaFANZONE,3.08
1774,CN,235,011HO15506,011HO17721,AltaYOSHI,3.54,011HO17399,AltaINSPIRE 4,3.33,011HO17733,AltaFANZONE,3.54
1782,CN,151,029HO19286,011HO17721,AltaYOSHI,1.84,011HO17733,AltaFANZONE,3.12,011HO17399,AltaINSPIRE 4,2.46
1783,CN,114,029HO18693,011HO17721,AltaYOSHI,2.08,011HO17733,AltaFANZONE,2.33,011HO17399,AltaINSPIRE 4,2.15
1794,CN,176,029HO18693,011HO17721,AltaYOSHI,2.48,011HO17399,AltaINSPIRE 4,2.95,011HO17733,AltaFANZONE,2.60
1800,CN,184,029HO19226,011HO17721,AltaYOSHI,1.64,011HO17399,AltaINSPIRE 4,2.82,011HO17733,AltaFANZONE,2.85
1806,CN,248,029HO19389,011HO17399,AltaINSPIRE 4,2.59,011HO17733,AltaFANZONE,3.08,011HO17721,AltaYOSHI,1.58
1812,CN,209,029HO18225,011HO17399,AltaINSPIRE 4,2.23,011HO17733,AltaFANZONE,2.82,011HO17721,AltaYOSHI,1.85
1813,CN,185,551HO03379,011HO17721,AltaYOSHI,0.85,011HO17399,AltaINSPIRE 4,1.12,011HO17733,AltaFANZONE,1.64
1821,CN,169,029HO19286,011HO17721,AltaYOSHI,1.70,011HO17399,AltaINSPIRE 4,2.30,011HO17733,AltaFANZONE,3.99
1826,CN,352,029HO19629,011HO17733,AltaFANZONE,3.66,011HO17399,AltaINSPIRE 4,2.20,011HO17721,AltaYOSHI,3.11
1832,CN,-83,029HO17971,011HO17733,AltaFANZONE,0.91,011HO17721,AltaYOSHI,0.38,011HO17399,AltaINSPIRE 4,0.81
1835,CN,91,001HO12996,011HO17399,AltaINSPIRE 4,1.23,011HO17721,AltaYOSHI,1.33,011HO17733,AltaFANZONE,2.11
